"","theta","g","SE.g","G","SE.G","Bias.g"
"1",-3,0.00900638698166116,0.00233567086057339,0.00900638698166116,0.00233567086057339,0.0100962151991615
"2",-2.9,0.00866457968436197,0.00277395421254626,0.0176709666660231,0.00510951734025621,0.0119649950678969
"3",-2.8,0.00833780071003993,0.00317346139235217,0.0260087673760631,0.00828276309652167,0.0136668379560426
"4",-2.7,0.00802730470205793,0.00353457752442216,0.034036072078121,0.0118170378219965,0.0152039978086405
"5",-2.6,0.00773409188877978,0.00385836032273693,0.0417701639669008,0.0156750285031136,0.0165812684712176
"6",-2.5,0.00745894426639909,0.00414636693437877,0.0492291082332999,0.0198209741707728,0.0178054259479783
"7",-2.4,0.00720246183258301,0.00440051541514003,0.0564315700658829,0.0242210265440726,0.0188847117414444
"8",-2.3,0.00696509832641436,0.00462296678291217,0.0633966683922972,0.0288434937387706,0.0198283630594054
"9",-2.2,0.0067471961291094,0.00481602270441795,0.0701438645214066,0.033658981699386,0.0206461919554396
"10",-2.1,0.00654902016463845,0.00498203639200695,0.0766928846860451,0.0386404463064584,0.0213482123154564
"11",-2,0.00637079080996892,0.00512333488945912,0.083063675496014,0.0437631674983281,0.0219443109636921
"12",-1.9,0.00621271598321539,0.00524215091818477,0.0892763914792294,0.0490046549679452,0.0224439569515895
"13",-1.8,0.00607502272810367,0.00534056224717116,0.0953514142073331,0.054344492955926,0.0228559411986894
"14",-1.7,0.005957988759851,0.0054204362699875,0.101309402967184,0.0597641293222006,0.023188136939736
"15",-1.6,0.00586197458727338,0.00548337714860386,0.107171377554457,0.0652466114046949,0.0234472697383365
"16",-1.5,0.00578745698663552,0.00553067250415452,0.112958834541093,0.0707762681068212,0.0236386839717421
"17",-1.4,0.00573506478425188,0.00556323616590664,0.118693899325345,0.0763383340993196,0.0237660904588544
"18",-1.3,0.00570561811920689,0.00558154288448248,0.124399517444552,0.0819185078257422,0.0238312770352434
"19",-1.2,0.00570017261985992,0.00558555011416061,0.130099690064412,0.0875024299440244,0.0238337600520681
"20",-1.1,0.00572007025713668,0.00557460089915479,0.135819760321548,0.0930750626068401,0.023770349575689
