"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0.0029790133886496
"17",0.00916985523109545
"18",0.0153318995818456
"19",0.0214471367240894
"20",0.0274969882209973
"21",0.0334623341095543
"22",0.0393235422293898
"23",0.0450604996710195
"24",0.0506526463225862
"25",0.0560790104887681
"26",0.0613182465500833
"27",0.066348674625391
"28",0.0711483221948531
"29",0.0756949676352568
"30",0.0799661856140084
"31",0.0839393942828372
"32",0.0875919042067578
"33",0.0909009689585779
"34",0.0938438373039604
"35",0.0963978068968968
"36",0.0985402794003939
"37",0.10024881694217
"38",0.101501199810389
"39",0.102275485289717
"40",0.102550067533475
"41",0.102303738363259
"42",0.101515748883221
"43",0.100165871792174
"44",0.0982344642728954
"45",0.0957025313343835
"46",0.0925517894794652
"47",0.0887647305670427
"48",0.0843246857353119
"49",0.0792158892497472
"50",0.0734235421372217
"51",0.0669338754655414
"52",0.0597342131259367
"53",0.0518130339744778
"54",0.0431600331872179
"55",0.0337661826829204
"56",0.0236237904667398
"57",0.0127265587478264
"58",0.0010696406839937
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0.0400269969204372
"148",0.128712083187887
"149",0.220654723755653
"150",0.315842764676332
"151",0.414260232017966
"152",0.515887314695062
"153",0.620700353087404
"154",0.728671833503314
