"","theta","g","SE.g","G","SE.G","Bias.g"
"1",-3,0.00644847271635669,0.00202736648138422,0.00644847271635669,0.00202736648138422,0.0060174343084793
"2",-2.9,0.00605502160755562,0.00206936378417682,0.0125034943239123,0.00409433257957132,0.00617249261074803
"3",-2.8,0.00568879104128741,0.00210617137860238,0.0181922853651997,0.00619465613958249,0.00628549114811163
"4",-2.7,0.00535075632798789,0.00213629024457233,0.0235430416931876,0.00832139440181158,0.00636136461091403
"5",-2.6,0.00504134857847767,0.0021593200090246,0.0285843902716653,0.0104676325132889,0.00640549244310217
"6",-2.5,0.00476058250305711,0.00217562142690396,0.0333449727747224,0.0126270119976893,0.00642342241853952
"7",-2.4,0.00450817466423694,0.00218605087341569,0.0378531474389593,0.0147940887955779,0.00642065414873838
"8",-2.3,0.00428365114033491,0.00219176181559287,0.0421367985792942,0.016964553939425,0.00640247847910516
"9",-2.2,0.00408644475717202,0.00219406200159246,0.0462232433364663,0.0191353486533008,0.00637386607288216
"10",-2.1,0.00391598302285706,0.00219431451104794,0.0501392263593233,0.0213047019479694,0.00633939693375028
"11",-2,0.00377176870466155,0.00219387214003967,0.0539109950639849,0.0234721140178112,0.00630322187217942
"12",-1.9,0.00365345568034424,0.002194036327581,0.0575644507443291,0.0256383037252441,0.00626904666149643
"13",-1.8,0.00356092335396604,0.0021960334088748,0.0611253740982951,0.0278051335626004,0.00624012954545246
"14",-1.7,0.00349435363560499,0.00220100222568214,0.0646197277339001,0.0299755208191509,0.0062192825376647
"15",-1.6,0.00345431534926708,0.00220998798588281,0.0680740430831672,0.0321533391648789,0.00620886626201716
"16",-1.5,0.00344186208242489,0.00222393771916102,0.0715159051655921,0.0343433102426975,0.00621076653040133
"17",-1.4,0.00345865109173605,0.00224369268680443,0.0749745562573282,0.0365508797195354,0.0062263379276801
"18",-1.3,0.00350709316141394,0.00226997260542955,0.0784816494187421,0.0387820659557007,0.00625629464365583
"19",-1.2,0.00359054659724133,0.00230334544222106,0.0820721960159834,0.0410432610823233,0.00630052055989894
"20",-1.1,0.00371357330116333,0.00234417473071605,0.0857857693171468,0.0433409524455643,0.00635775745934455
"21",-1,0.00388228180717013,0.00239253381319644,0.0896680511243169,0.0456813149994011,0.00642510947784509
"22",-0.9,0.00410365195227197,0.00244788212478387,0.0937717030765889,0.0480694458716671,0.00649698691431097
"23",-0.8,0.00438212229193498,0.00250838622192146,0.0981538253685239,0.0505079792141022,0.00656375046562114
