"","x"
"1",-0.1
"2",-0.0995107632093934
"3",-0.0990215264187867
"4",-0.09853228962818
"5",-0.0980430528375734
"6",-0.0975538160469667
"7",-0.0970645792563601
"8",-0.0965753424657534
"9",-0.0960861056751468
"10",-0.0955968688845401
"11",-0.0951076320939335
"12",-0.0946183953033268
"13",-0.0941291585127202
"14",-0.0936399217221135
"15",-0.0931506849315069
"16",-0.0926614481409002
"17",-0.0921722113502935
"18",-0.0916829745596869
"19",-0.0911937377690802
"20",-0.0907045009784736
"21",-0.0902152641878669
"22",-0.0897260273972603
"23",-0.0892367906066536
"24",-0.088747553816047
"25",-0.0882583170254403
"26",-0.0877690802348337
"27",-0.087279843444227
"28",-0.0867906066536204
"29",-0.0863013698630137
"30",-0.0858121330724071
"31",-0.0853228962818004
"32",-0.0848336594911937
"33",-0.0843444227005871
"34",-0.0838551859099804
"35",-0.0833659491193738
"36",-0.0828767123287671
"37",-0.0823874755381605
"38",-0.0818982387475538
"39",-0.0814090019569472
"40",-0.0809197651663405
"41",-0.0804305283757339
"42",-0.0799412915851272
"43",-0.0794520547945206
"44",-0.0789628180039139
"45",-0.0784735812133072
"46",-0.0779843444227006
"47",-0.0774951076320939
"48",-0.0770058708414873
"49",-0.0765166340508806
"50",-0.076027397260274
"51",-0.0755381604696673
"52",-0.0750489236790607
"53",-0.074559686888454
"54",-0.0740704500978474
"55",-0.0735812133072407
"56",-0.0730919765166341
"57",-0.0726027397260274
"58",-0.0721135029354208
"59",-0.0716242661448141
"60",-0.0711350293542074
"61",-0.0706457925636008
"62",-0.0701565557729941
"63",-0.0696673189823875
"64",-0.0691780821917808
"65",-0.0686888454011742
"66",-0.0681996086105675
"67",-0.0677103718199609
"68",-0.0672211350293542
"69",-0.0667318982387476
"70",-0.0662426614481409
"71",-0.0657534246575343
"72",-0.0652641878669276
"73",-0.0647749510763209
"74",-0.0642857142857143
"75",-0.0637964774951076
"76",-0.063307240704501
"77",-0.0628180039138943
"78",-0.0623287671232877
"79",-0.061839530332681
"80",-0.0613502935420744
"81",-0.0608610567514677
"82",-0.0603718199608611
"83",-0.0598825831702544
"84",-0.0593933463796478
"85",-0.0589041095890411
"86",-0.0584148727984345
"87",-0.0579256360078278
"88",-0.0574363992172211
"89",-0.0569471624266145
"90",-0.0564579256360078
"91",-0.0559686888454012
"92",-0.0554794520547945
"93",-0.0549902152641879
