spec,estimand,dropped_id,dropped_label,b,se,tau,N,clusters,full_b_tmp,full_b,delta,abs_delta
T3_col1_test,Overall,1,Abott Kogan Lavertu Peskowitz(2020),.0309185409158317,.0055373185,.020176204,37,21,,.0316167169261437,-.000698176010312,.000698176010312
T3_col1_test,Overall,30,Miller(2018),.0298568478472983,.0056823031,.020539228,39,21,,.0316167169261437,-.0017598690788454,.0017598690788454
T3_col1_test,Overall,3,Baron(2022),.0311953641217316,.0055662598,.020609448,38,21,,.0316167169261437,-.0004213528044121,.0004213528044121
T3_col1_test,Overall,17,Hong Zimmer(2016),.0306173444191998,.0055453447,.020543979,39,21,,.0316167169261437,-.0009993725069439,.0009993725069439
T3_col1_test,Overall,32,Neilson Zimmerman(2014),.0317759457015799,.0059287865,.021416567,39,21,,.0316167169261437,.0001592287754362,.0001592287754362
T3_col1_test,Overall,99,Chaudhary(2009) Hyman(2017) Papke(2008) Roy(2011),.0306726141630638,.0054876725,.019206492,37,21,,.0316167169261437,-.0009441027630799,.0009441027630799
T3_col1_test,Overall,5,Baron(2022),.0319063866455085,.0055828714,.020261582,37,21,,.0316167169261437,.0002896697193648,.0002896697193648
T3_col1_test,Overall,10,Cellini Ferreira Rothstein(2010),.030496164624268,.005464694,.01983376,39,21,,.0316167169261437,-.0011205523018757,.0011205523018757
T3_col1_test,Overall,35,Rauscher(2020),.0326978509309938,.0059296577,.020862477,38,21,,.0316167169261437,.0010811340048501,.0010811340048501
T3_col1_test,Overall,98,Conlin Thompson(2017) Goncalves(2015),.0334471012040781,.0057488061,.021051828,37,21,,.0316167169261437,.0018303842779344,.0018303842779344
T3_col1_test,Overall,102,Martorell Stange McFarlin(2016),.0321221997243253,.0059539862,.0214753,39,21,,.0316167169261437,.0005054827981816,.0005054827981816
T3_col1_test,Overall,27,Lafortune Schonholzer(2022),.0306218426202604,.0057674651,.020987619,39,21,,.0316167169261437,-.0009948743058833,.0009948743058833
T3_col1_test,Overall,37,Weinstein Stiefel Schwartz Chalico(2009),.0336396435235106,.0053268094,.019396866,39,21,,.0316167169261437,.0020229265973669,.0020229265973669
T3_col1_test,Overall,8,Carlson Lavertu(2018),.0304880015479641,.0055276901,.020471068,39,21,,.0316167169261437,-.0011287153781796,.0011287153781796
T3_col1_test,Overall,12,Clark(2003),.0334946993985938,.0060336702,.022167273,39,21,,.0316167169261437,.0018779824724501,.0018779824724501
T3_col1_test,Overall,16,Guryan(2001),.0317363255052731,.0056658653,.021138338,39,21,,.0316167169261437,.0001196085791294,.0001196085791294
T3_col1_test,Overall,24,Kreisman Steinberg(2019),.0301829510670122,.0056534647,.020361224,37,21,,.0316167169261437,-.0014337658591315,.0014337658591315
T3_col1_test,Overall,14,Gigliotti Sorensen(2018),.0307252809987312,.0060433405,.021615097,39,21,,.0316167169261437,-.0008914359274125,.0008914359274125
T3_col1_test,Overall,100,Brunner Hyman Ju(2020) Lafortune Rothstein Schanzenbach(2018),.0317658310351086,.0060519371,.02088294,34,21,,.0316167169261437,.0001491141089649,.0001491141089649
T3_col1_test,Overall,34,Rauscher(2020),.0341198487747415,.0056627407,.020364499,38,21,,.0316167169261437,.0025031318485978,.0025031318485978
T3_col1_test,Overall,23,Kogan Lavertu Peskowitz(2017),.0330578856895013,.0061117611,.022198848,39,21,,.0316167169261437,.0014411687633576,.0014411687633576
T3_col1_test,Overall,0,full sample,.0316167169261437,.0055882218,.02072306,40,22,.0316167169261437,.0316167169261437,,
T3_col1_test,Overall,19,Jackson Wigger Xiong(2021),.0304960785827988,.005778993,.020970097,39,21,,.0316167169261437,-.0011206383433449,.0011206383433449
T3_col2_capi,Capital,24,Kreisman Steinberg(2019),.0265977108278123,.0097668441,.021043042,37,21,,.0266080082081685,-.0000102973803562,.0000102973803562
T3_col2_capi,Capital,102,Martorell Stange McFarlin(2016),.0272978177305295,.0120017,.022093635,39,21,,.0266080082081685,.000689809522361,.000689809522361
T3_col2_capi,Capital,10,Cellini Ferreira Rothstein(2010),.0231744871301987,.0088290777,.019744704,39,21,,.0266080082081685,-.0034335210779697,.0034335210779697
T3_col2_capi,Capital,16,Guryan(2001),.0268077196580032,.0098037357,.021580193,39,21,,.0266080082081685,.0001997114498347,.0001997114498347
T3_col2_capi,Capital,98,Conlin Thompson(2017) Goncalves(2015),.0319899637182722,.011958011,.022107465,37,21,,.0266080082081685,.0053819555101038,.0053819555101038
T3_col2_capi,Capital,23,Kogan Lavertu Peskowitz(2017),.0270757640335193,.009854665,.022282558,39,21,,.0266080082081685,.0004677558253508,.0004677558253508
T3_col2_capi,Capital,27,Lafortune Schonholzer(2022),.0221470202771023,.0092819743,.020927498,39,21,,.0266080082081685,-.0044609879310662,.0044609879310662
T3_col2_capi,Capital,30,Miller(2018),.0268774192292452,.009816559,.021761008,39,21,,.0266080082081685,.0002694110210767,.0002694110210767
T3_col2_capi,Capital,32,Neilson Zimmerman(2014),.026154894803392,.011562456,.021902394,39,21,,.0266080082081685,-.0004531134047765,.0004531134047765
T3_col2_capi,Capital,34,Rauscher(2020),.0340955138874687,.011654515,.021509772,38,21,,.0266080082081685,.0074875056793002,.0074875056793002
